PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,class
-0.336042773,-0.663118049,-0.183323163,-1.168795222,1.336533663,-0.323304204,0.456562765,3.614221612,2
-0.265233758,-0.363713963,-0.420310913,-0.134541788,-0.231835724,0.367010722,0.330273513,0.076662696,3
-0.193393684,-0.304441104,-0.437428169,-0.208519699,-0.297655245,0.193065213,0.030852941,-0.380660991,4
-0.496306804,-0.098917694,2.511813326,-0.235977793,-1.040803705,-0.285846068,-0.745870786,-3.145766378,5
-0.179009498,-0.085692476,-0.6018114,0.032250698,-0.333141755,0.053485597,0.431148271,-0.079426029,6
0.543475485,0.989369176,-0.139045625,-0.085799131,-0.566558147,-0.514102211,-1.291727574,0.608553099,7
0.018199006,-0.341949358,-0.46086885,-0.348451572,-0.404246435,-0.206286579,-0.332146143,-0.150000782,8
0.775927202,1.499220875,-0.53387851,1.010395705,-0.007182743,-0.031379539,-0.889028569,-0.314455464,9
-0.197470769,-0.368624754,-0.560220865,-0.38653587,-0.303590092,-0.138049561,-0.270151763,0.136408433,1
-0.229822976,-0.470560554,-0.592067076,-0.586687139,0.1123848,-0.168325202,0.036176349,0.90008614,2
-0.325723991,-0.135103957,0.648855312,0.47333618,0.214115656,0.871281132,0.511958988,0.535837542,3
-0.125958146,0.208069179,-0.64554122,0.388675529,-0.350859029,0.350524569,-0.37880117,-0.154379455,4
-0.577949493,-0.178466746,0.714613681,-0.489018039,-1.378985148,0.373388889,0.430596837,-4.105254371,5
-0.265028012,0.135474395,-0.584828053,0.179606586,-0.157511326,-0.887514307,-0.393942,0.452155324,6
-0.1232216,-0.077539254,-0.419633182,-0.064415266,-0.402430616,-0.299567799,-0.660990079,0.146150368,7
-0.018617756,-0.431193854,-0.567277871,-0.427646445,-0.708369749,-0.614054774,-0.734614095,-0.678797232,8
7.499399377,0.293650648,-1.526505292,-0.469753553,-0.696242569,-0.314011754,-1.05737204,0.405802947,9
-0.241928538,-0.547371716,-0.701786079,-0.625655065,-0.363615903,-0.199538671,-0.451567029,0.836245445,1
-0.203935214,-0.269905812,-0.337355715,-0.757129445,1.392015243,-0.14074236,-0.174211222,0.382289953,2
-0.239091854,-0.341103577,-0.316428779,-0.029375594,-0.22019833,0.47634632,0.283918096,0.030161147,3
-0.178881516,-0.185656763,-0.297366569,-0.841645253,2.103431949,0.053776027,0.055821725,-0.512118871,4
-0.225627332,-0.10782159,-0.465614983,-0.237979625,-0.666399199,-0.143326383,-0.153063634,-1.162715344,5
-0.200144249,0.198189351,-1.078823338,-0.094759362,0.018992092,-0.285783009,-0.177250537,0.626687679,6
-0.406570721,-0.201944492,0.219494565,-0.311672671,-0.571879211,-0.016502962,0.23557687,0.686237227,7
0.656935382,0.776533369,-0.491846008,-0.185503037,-0.605630615,-0.411815515,-0.524759064,-0.350846599,8
-0.252400644,0.059836557,-0.684978431,-0.13748766,-0.112890558,-0.468822717,0.061049414,1.024224127,9
-0.261182752,-0.435868291,-0.168719901,-0.474154881,-0.444549894,0.000221504,0.3792224,1.090130838,1
-0.540023478,-1.512902863,-2.162537737,-1.549400511,1.099226539,-1.347071381,-0.136823336,6.705683139,2
-0.368877053,-0.379320441,0.309174724,0.110189742,-0.368912275,0.953521456,1.352528577,-1.555193332,3
-0.173505273,0.031996056,-0.479841235,0.028165041,-0.199295681,-0.034592992,0.298513449,-0.317374649,4
-0.331760085,-0.3497388,-0.030345303,-0.368249795,-0.788400663,-0.080551798,-0.091679528,-1.775340463,5
0.992601953,-0.072391229,-0.879690198,-0.088648542,-0.412786588,-0.301932185,-0.532380883,0.082145283,6
-0.176427127,0.118278082,-0.439244396,-0.029290513,-0.317431844,-0.46783447,-0.714281256,0.2413165,7
-0.175646415,-0.212895135,-0.530375703,-0.294662506,-0.262907368,-0.167961311,-0.204456491,0.07114317,8
0.400892206,6.198548489,-0.926358147,-0.842796637,-0.161326876,-0.140934187,-0.148423548,-0.298508222,9
-0.452902595,-0.7768593,0.510617698,-1.029463281,0.593052374,-0.149418349,-0.420774558,1.145956951,1
-0.382005156,-0.837800182,0.93120785,-2.455443746,6.284137797,-0.029047791,-0.23224228,1.161201218,2
-0.737886872,0.528748594,5.767761832,2.841109383,-0.695177747,3.018147578,1.537812046,-2.195491303,3
-0.308084287,0.653762518,-0.964292791,5.169246201,0.942856264,6.273541638,-1.136513654,0.149715925,4
-0.295647122,-0.175441448,-0.195724578,-0.248063956,-0.683785953,-0.093398001,-0.079696041,-1.444780493,5
-0.146615059,-0.208631756,-0.843094222,-0.190166744,-0.308540962,-0.356386466,-0.396901422,0.507013757,6
-0.171756373,-0.17522761,-0.4678342,0.109394612,-0.099162098,-0.570542329,-0.237610359,0.024913537,7
0.058915205,-0.106809574,-0.595179155,-0.108873757,-0.535242585,-0.335725495,-0.470981321,-0.302078392,8
-0.765200695,10.01543995,-8.108589563,63.99057866,24.26241525,-58.41411654,14.37386618,-2.429823415,9
-0.215956089,-0.390607833,-0.536549035,-0.426686308,-0.335438552,-0.144683661,-0.260968223,0.352141208,1
-0.204462689,-0.366434336,-0.426798246,-0.453163338,-0.014976283,-0.077833645,-0.001558364,0.615543757,2
-0.250182633,-0.15544842,-0.527569599,0.713896655,-0.024749889,1.146900281,-0.209760064,-0.153534387,3
-0.233258772,0.361518381,0.109080122,0.260393863,-0.220873412,0.874230166,1.756599416,-1.749300283,4
-0.402326421,-0.277268541,0.265517276,-0.398031763,-0.924900419,0.087665383,0.254028528,-2.552303271,5
-0.171115298,-0.087838524,-0.777697501,-0.110714956,-0.448767227,-0.403030316,-0.437736645,0.584176286,6
-0.184906735,0.581134253,2.636189967,0.544469455,-0.632716625,-1.068681058,-2.432084758,0.81560526,7
0.00826563,-0.341825451,-0.480220569,-0.367421541,-0.432541081,-0.191793226,-0.361952716,-0.182603404,8
-0.01776922,0.061154036,-0.739611099,-0.067843139,-0.189103378,-0.348009887,-0.392234024,0.189390426,9
-0.225605623,-0.407965748,-0.631507472,-0.38832616,-0.340737835,-0.267123054,-0.220719126,0.362267788,1
-0.253873684,-0.40141733,-0.595541579,-0.691975778,0.21567749,-0.261694742,0.058687669,1.606239447,2
-0.255094451,-0.226206751,-0.426165028,0.362954299,-0.071257242,0.779438863,0.037995466,0.08477784,3
-0.186430927,-0.322757043,-0.748287487,-0.246188031,-0.415824728,0.069797588,0.006230734,-0.423880223,4
-0.371424357,-0.126233569,-0.225355332,-0.350440787,-0.964382923,-0.061929868,0.098030831,-2.309479312,5
-0.131581645,-0.160936233,-0.686777754,-0.168401258,-0.322938156,-0.25038326,-0.234091432,0.497901781,6
-0.142613419,-0.07745792,-0.163876111,-0.084357935,-0.478837471,-0.292463245,-0.705062553,-0.074101948,7
0.69052418,0.734700973,-0.520830036,-0.49858249,-0.552927468,-0.306463459,-0.404998312,-0.424394763,8
0.288273931,4.191035519,-0.756333037,-0.734841629,-0.274662234,-0.346517591,-0.210806279,-0.446452189,9
-0.220846998,-0.41608511,-0.586641121,-0.474421994,-0.388947839,-0.182564145,-0.262827297,0.380732814,1
-0.180242073,-0.331023363,-0.508416851,-0.375890193,-0.143661295,-0.124812394,-0.17892098,0.206574868,2
-0.233487997,-0.418803514,-0.359641857,-0.22230495,-0.23287071,0.392211094,0.695036583,-0.814056739,3
-0.233989902,0.227258141,-0.391206462,-0.018990585,-0.231076532,0.550918954,0.282051672,-0.808721111,4
-0.410667886,-0.43533528,0.039371989,-0.336004421,-0.688339897,0.348659799,0.332048949,-2.159305779,5
-0.12764013,-0.115104316,-0.694291036,-0.095410924,-0.382209251,-0.311271167,-0.517985569,0.16472677,6
-0.180191353,0.213825104,-0.414727576,0.052420437,-0.354152659,-0.501765523,-0.698119726,0.254789718,7
0.049094038,-0.226381541,-0.177122605,-0.44336369,0.559133432,-0.204142923,-0.561084262,-0.63774089,8
-0.352387925,-0.40378398,0.437771102,0.630134735,-0.078739748,-1.572563314,-0.470963078,0.898481226,9
-0.263688804,-0.496812912,-0.675214746,-0.585648452,-0.303285838,-0.251752689,-0.463195725,0.789202957,1
-0.19718672,-0.923942024,0.133058899,-2.364485393,5.464385395,-0.046101128,-0.28674385,1.795083582,2
-0.26451792,-0.338056721,-0.282255148,-0.11017467,-0.20241674,0.600212344,1.017506125,-1.238861901,3
-0.351384071,0.046369466,-0.091047675,0.483537149,-0.231867726,1.09608507,2.527466325,-1.70453346,4
-0.349861443,-0.270189797,-0.099853257,-0.47545489,-0.786226583,-0.030630699,0.029816518,-1.97021121,5
-0.12890203,-0.164766509,-0.749499026,-0.150172772,-0.376262975,-0.246035027,-0.445426682,0.038665444,6
-0.129963637,-0.174258522,-0.651475298,-0.179029918,-0.302200828,-0.208104686,-0.204162086,0.393808148,7
0.464048585,0.538669703,13.12324693,1.866712532,-2.38961483,-1.633821558,-1.984303597,-3.018898341,8
-0.179163975,-0.07502938,-0.63437917,0.170195236,-0.331440656,0.069002234,-0.271647042,0.1395018,9
-0.137141499,-0.384184207,-0.583295285,-0.446793809,-0.235300813,-0.166171223,-0.275060993,0.30150219,1
-0.262115736,-0.306679298,-0.418291639,-0.538196116,-0.041654154,-0.088157212,-0.191871973,0.341408892,2
-0.329069912,-0.330491017,-0.173291952,0.295374436,-0.055505784,1.117458478,1.13068887,-0.660274629,3
-0.1992589,0.257951312,-0.456269918,-0.041490645,-0.282584804,0.377148726,-0.012854051,-0.467742877,4
-0.201970424,-0.02815046,-0.563964169,-0.188295362,-0.305972724,-0.201706893,-0.23018104,-0.121715878,5
-0.14636771,1.250000077,-0.640733232,-0.451796661,-0.275941546,-0.037233682,-0.227584614,-0.05331044,6
-0.118456891,-0.092567828,-0.402151594,-0.089627563,-0.381605258,-0.235464395,-0.535077266,0.155100074,7
0.005429508,-0.03292729,-0.528041702,-0.157131736,-0.26753491,-0.236772992,-0.261880747,0.057579662,8
115.8750354,-2.448420706,2.709530015,1.374339107,1.128822807,0.815817771,1.784574041,-0.27770464,9
-0.245085948,-0.46325904,-0.752415384,-0.645126779,-0.428719521,-0.235354075,-0.48385764,1.086690058,1
-0.323087072,-0.508537933,-0.068573899,-1.089641795,1.233241387,-0.269406065,0.522330342,3.345713504,2
-0.242687017,-0.341159389,-0.45097066,-0.225797085,-0.199341657,0.165780396,0.171228946,0.291959624,3
-0.222748596,-0.263021996,-0.484583261,-0.173506091,-0.266089709,0.132457578,0.056068108,-0.474559752,4
-0.480751319,-0.218789485,0.19655823,-0.545383943,-1.155573581,0.067922284,0.365833482,-3.501948287,5
-0.152387433,0.021941198,-0.838341803,-0.131686409,-0.200411714,-0.429676757,-0.254530086,0.645070392,6
0.578315905,1.038888863,0.014212229,-0.107339987,-0.591177559,-0.545087114,-1.571121647,1.002900524,7
-0.19743115,-0.033324605,-0.501161946,-0.190854358,-0.316795296,-0.243029074,-0.182634063,-0.09261379,8
0.588543498,-0.138021862,-0.662098656,-0.122045692,-0.33575499,-0.200571366,-0.398107653,0.037958074,9
-0.219843985,-0.385790651,-0.532540994,-0.423169783,-0.371626951,-0.127400357,-0.284566719,0.453354268,1
-0.259939723,-0.549982374,-0.353105805,-0.814339541,0.68941745,-0.192326956,0.341297973,2.059479604,2
-0.459858038,-0.18929409,2.745431464,0.083993306,0.007506896,0.743627483,1.37125683,-1.922537638,3
-0.171104214,0.175188992,-0.535608763,-0.143870701,-0.255256945,0.309576152,-0.156784998,-0.245276284,4
-0.500196545,-0.188443712,5.522821677,-0.122673619,-0.171488018,-0.61629961,-1.391694493,-3.50283387,5
-0.250851094,-0.102145952,-0.392636476,0.194886876,-0.442373278,0.715536339,2.68229062,-1.577212719,6
-0.186597074,-0.416665919,-0.686724145,-0.477383452,-0.417958618,-0.125364862,-0.31152025,0.350933933,7
0.245429332,0.153602982,-0.32540356,-0.346493502,-0.411558657,-0.225921255,-0.327472857,-0.140509049,8
-0.231851926,-0.462520135,-1.170199329,-0.516266501,-0.434175732,-0.070894046,-1.434164547,0.467590065,9
-0.224220562,-0.443987041,-0.645763654,-0.51792474,-0.281087394,-0.190219205,-0.301820334,0.485434147,1
-0.312744839,-0.496308849,1.03464993,-1.033112221,2.233991086,0.041729201,0.478002333,1.81908574,2
-0.272917303,-0.37943246,-0.246514655,0.19247076,-0.029238825,1.156567119,0.518784919,-0.589915275,3
-0.234604902,-0.33285505,-0.38955024,-0.247746638,-0.257463791,0.147270031,0.193737623,-0.492625459,4
-0.383920558,-0.245381562,-0.176169484,0.205211387,-0.561904656,0.751219072,0.021239613,-1.238594826,5
-0.170882202,-0.030662325,-0.291708225,-0.001752808,-0.47148147,-0.242623919,-0.428470678,-0.040215352,6
-0.195017741,0.05004828,-0.148767536,0.221548066,-0.594400265,-0.242619595,-1.342519217,0.15912895,7
0.179058883,0.421092312,0.112895581,-0.218034474,-0.483638137,-0.34856006,-0.34378583,-0.37976871,8
-0.224414453,-0.250901462,-0.484945079,-0.173299247,-0.434437075,-0.311382828,-0.371487705,-0.246475609,9
-0.287395623,-0.538365739,-0.638486675,-0.514161001,-0.322645808,-0.015916379,-0.135952239,0.851453184,1
-0.204677873,-0.514104918,-0.441515432,-0.995432497,1.563996092,-0.166212665,-0.389641855,0.222680626,2
-0.286049036,-0.302491928,-0.241853608,0.006142126,-0.243527765,0.568044179,0.666217221,-0.436367936,3
-0.173446192,-0.143945116,-0.491119531,0.290778463,-0.202145715,0.472586938,-0.046561803,-0.353020855,4
-0.242651561,-0.091121322,-0.422702471,-0.21314623,-0.562229893,-0.179148991,-0.156706152,-1.251210308,5
2.295736502,99.15667045,-2.270337071,-15.19830237,3.052709737,3.497834136,3.535800139,-0.570238143,6
-0.136386776,0.139838771,0.578193772,0.129497648,-0.512005766,-0.795760568,-1.622599039,0.597917096,7
-0.175610603,-0.312702283,-0.528009575,-0.337545095,-0.337435083,-0.128668897,-0.283426126,-0.052726457,8
-0.164295563,-0.104367405,-0.847887733,-0.011242738,-0.496863367,-0.415464242,-0.377259701,0.122657963,9
-0.23730868,-0.430001896,-0.58352304,-0.472314418,-0.372022728,-0.159644139,-0.302729401,0.455042796,1
-0.215991488,-0.290343169,-0.38632183,-0.407886492,0.066287015,-0.117525197,0.073721469,0.709285005,2
-0.234588005,-0.364225474,-0.402417956,-0.291874633,-0.241967777,0.178990496,0.18190523,-0.5283372,3
-0.23319353,-0.355223177,-0.30126069,-0.185829213,-0.266692711,0.251681937,0.260732662,-0.74104259,4
-0.243307043,-0.326800832,-0.311380515,-0.430574466,-0.452818277,-0.087551972,-0.187199939,-0.881866747,5
-0.133431234,-0.131871284,-0.726613342,-0.121037049,-0.436148477,-0.345641102,-0.660998884,0.269670667,6
-0.139711876,0.083380918,-0.558971826,0.21380179,-0.373132923,-0.430538699,-1.010983957,0.350272182,7
0.075597342,-0.142696692,-0.528504027,-0.142583587,-0.467718059,-0.27890066,-0.446608456,-0.210450887,8
1.493557898,-0.115849297,-0.744379392,-0.110105331,-0.438294665,-0.229672171,-0.640827017,0.144933001,9
-0.408552138,-0.367580859,2.009001258,-0.0995921,-0.764995014,-0.074326887,-0.924998382,1.305543141,1
-0.31042644,-0.580683258,-0.064170818,-1.016984787,2.007949192,0.248935552,1.032300489,2.340478616,2
-0.296339819,-0.066433812,-0.407047998,0.475324844,-0.131876754,0.841011743,0.426669328,-0.49650751,3
-0.18561618,0.269440793,-0.439936718,-0.026108618,-0.239740429,0.375439807,0.025940215,-0.436760247,4
-0.224922059,-0.217862451,-0.366546705,-0.338999483,-0.348991577,-0.123421356,-0.138625506,-0.411048568,5
-0.191694209,-0.095221716,-0.658684835,0.270539504,-0.278168236,-0.397055632,0.558076908,0.193337621,6
0.576566285,1.18124088,0.95092699,0.155830475,-0.602686552,-0.813149006,-2.186681491,1.039998449,7
-0.175371134,-0.335233323,-0.570114319,-0.360722809,-0.332840318,-0.147831791,-0.277544778,-0.027747736,8
-0.492503888,0.079487599,4.521059577,0.162921973,-0.66635812,-0.067937543,0.041750657,-0.816663574,9
-0.212868499,-0.288079369,1.177002939,-0.130641305,-0.444668248,-0.298379433,-0.751661091,0.268877477,1
-0.266314683,-0.400379053,0.656936785,-0.592546008,0.795395994,-0.038827343,0.312153958,1.593551655,2
-1.481255229,-2.033105783,18.56619228,2.113764243,-0.492855882,14.31548297,67.78594333,-37.98994737,3
-0.335058022,-0.134821405,0.674061692,0.334936299,-0.371515269,1.490105554,6.955504015,-4.79820145,4
-0.64397054,-0.452501515,1.008888107,-1.180237642,-0.462937764,0.094873804,0.189629664,-6.074869118,5
-0.175057603,1.258207849,-0.224864211,-0.280439979,-0.260210101,0.073437794,0.981020255,-0.981723517,6
-0.142002894,-0.003699285,-0.447445569,-0.050680064,-0.352022972,-0.279794238,-0.531515474,0.143274928,7
-0.231660198,-0.214747031,0.019790969,-0.527330386,0.273956025,-0.137742338,-0.349717819,-0.67399635,8
-0.251710462,0.638600684,-0.449511544,0.391100725,-0.11680517,-1.103478724,-2.548988163,2.343886722,9
-0.252591526,-0.361501627,-0.563733437,-0.40379014,-0.386431091,-0.148277189,-0.212412062,0.364683366,1
-0.303938169,-0.472665928,0.811011438,-0.698472291,0.952996453,0.141588026,1.355118035,3.371644258,2
-0.269974267,-0.377931791,-0.332331661,-0.2109315,-0.256320716,0.328422234,0.603734278,-0.028158937,3
-0.615106813,-0.328660492,2.56467744,0.164134795,0.596656088,1.765582137,3.462757232,-4.197228679,4
-0.404873847,-0.10474564,0.017416898,-0.409544228,-0.817545634,-0.032737982,0.224578116,-2.431618294,5
-0.190713272,-0.27544844,-1.218183996,-0.222067048,-0.412920567,-0.341799859,-0.088992707,1.186281735,6
-0.176076816,-0.037856235,-0.575649691,0.061823775,-0.536902127,-0.210183831,-0.683803024,-0.05922984,7
-0.003809872,-0.324040525,-0.35570671,-0.264261477,-0.451400145,-0.196332283,-0.365541034,-0.254860036,8
-0.22939457,-0.291810691,-0.244985713,-0.30984719,-0.275289908,-0.050216874,-0.32179355,-0.296685997,9
-0.23730868,-0.430001896,-0.58352304,-0.472314418,-0.372022728,-0.159644139,-0.302729401,0.455042796,1
-0.653326168,-1.194522122,0.833028633,-3.468429218,10.0222584,0.98192434,1.51238335,8.900808613,2
-0.193309006,-0.326024277,-0.56198463,-0.277140487,-0.300783528,0.081040272,0.009943228,-0.301115895,3
-0.265373811,-0.435041211,-0.257770246,-0.238103425,-0.301841909,0.351064932,0.519699459,-1.250037814,4
-0.332250043,-0.17171041,0.011529961,-0.313063165,-0.651162518,-0.132647273,-0.15058739,-1.449001649,5
-0.174388697,-0.245574635,-0.629324854,-0.275212525,-0.273704806,-0.197275598,-0.141314341,0.415747907,6
-0.211544204,-0.200732982,0.029174942,-0.155775463,-0.484927279,-0.284170997,-0.775151138,0.036770793,7
0.393218875,0.383469953,-0.064203729,-0.15139759,-0.825711769,-0.433089465,-0.404558934,-0.979778979,8
-0.24313259,-0.273612336,-0.428827703,-0.255391308,-0.455622918,-0.136172716,-0.495594295,-0.239159308,9
-0.272832135,-0.58924838,-0.949431409,-0.648488337,-0.471700157,-0.343451899,-0.580835187,0.981073812,1
-0.178468545,-0.469050852,-0.24922776,-0.862294355,1.482262374,-0.034286262,-0.05827745,0.590896959,2
-0.356826766,-0.370094185,-0.028607019,0.108053177,-0.229491522,1.087565259,2.018085761,-1.702150575,3
-0.129423878,-0.092582603,-0.540289573,0.275954524,-0.256528229,0.273035998,-0.351881697,-0.005802,4
-0.674958719,-0.216676213,1.779301434,-0.531977078,-1.33734827,0.467145351,1.136256605,-4.172822905,5
-0.212878822,-0.209150152,-0.50123017,-0.227476308,-0.362010765,-0.146666192,-0.30918247,-0.215947392,6
-0.306048008,-0.150257968,1.015875895,-0.595761391,0.262002473,0.057687433,-0.823956436,-0.567510052,7
-0.006509764,-0.24684429,-0.259938805,-0.20425782,-0.47413545,-0.21415426,-0.298320082,-0.406131304,8
0.168629394,0.162761314,-0.774812374,0.442850663,-0.125899249,-1.198365182,-0.229501683,-0.067053769,9
-0.263846846,-0.165574599,-0.685878424,-0.477105033,-0.049084042,-0.35115793,-0.158274711,1.029976467,1
-0.245785176,-0.589112676,-0.146261018,-1.138495483,1.936139783,0.0877259,0.623236557,1.871855539,2
-0.257460731,-0.413791522,-0.079257388,-0.14427781,-0.221527363,0.553242602,1.351612641,-0.755412983,3
-0.202693569,-0.380114088,-0.447838985,-0.255237715,-0.23468384,0.269542081,0.359243432,-0.65678833,4
-0.263401567,-0.338208669,-0.176475312,-0.439966581,-0.534044925,-0.080372198,-0.209256934,-1.061365532,5
0.076963412,13.6790233,0.57215725,-1.719692975,-0.026183891,-0.252053721,-0.006981023,-0.351152706,6
-0.187931636,0.181563449,-0.433515307,0.073382431,-0.355104474,-0.248644574,-0.453570265,-0.070306753,7
0.062767394,-0.094774103,-0.629735509,-0.056466631,-0.482672011,-0.390509074,-0.461156607,-0.22737647,8
-0.24215785,-0.327213369,-0.671269365,-0.299276035,-0.38064006,0.064772175,-0.300199923,0.046704175,9
-0.242830726,-0.00359841,0.183165616,-0.384293411,-0.377511373,-0.118579729,-0.561292433,0.604189647,1
-0.20441913,-0.399648772,-0.609568078,-0.408138066,-0.020539581,-0.24354626,-0.174127202,0.438996824,2
-0.275579969,-0.244136721,-0.198330953,0.864013235,-0.097518038,1.678366618,0.602604579,-0.552928788,3
-0.237890639,-0.243608735,-0.51386958,-0.179571126,-0.309879581,0.239220657,0.758388121,-0.801319095,4
-0.263401567,-0.338208669,-0.176475312,-0.439966581,-0.534044925,-0.080372198,-0.209256934,-1.061365532,5
-0.20094828,-0.338601706,-0.516945536,-0.371824033,-0.306502943,-0.162315998,-0.08794629,0.213519097,6
-0.124612091,-0.104532579,-0.38273552,-0.094843117,-0.431514862,-0.317913898,-0.674452345,0.160858663,7
0.065526874,-0.074572183,-0.570392321,-0.059170367,-0.480322598,-0.295080918,-0.422327539,-0.246645817,8
-0.13258173,-0.156126387,-0.646086899,-0.150195827,-0.392458815,-0.223645714,-0.476933343,-0.046872023,9
-0.214764386,-0.417879152,-0.584710345,-0.449393355,-0.331896413,-0.143989531,-0.250404415,0.398500973,1
-0.406406833,-0.730152295,0.819052754,-0.968165454,1.651293173,0.359987577,2.04783128,4.984426739,2
-0.27400434,-0.256973416,-0.393258178,0.4545612,-0.201434689,0.979283509,0.313021872,-0.622365561,3
-0.224880064,-0.178145553,-0.413080926,-0.104557154,-0.247492037,0.138426022,0.174937109,-0.551057314,4
-0.326216119,-0.158060825,-0.272133218,-0.426339133,-0.609444297,-0.113532798,0.034124239,-1.400129865,5
1.247372656,0.398897454,-0.709297774,-0.104691199,-0.400111472,-0.1811056,-0.28993779,-0.168205603,6
-0.245248363,-0.390878585,-0.643937271,-0.415544931,-0.539042541,-0.178566529,-0.388913728,-0.137789378,7
-0.004024165,-0.124404211,-0.447643911,-0.252132115,-0.290088492,-0.238372324,-0.2296988,-0.001568551,8
-0.174426647,-0.316493202,-0.548827207,-0.332944382,-0.277251118,-0.100937392,-0.334303975,0.053724608,9
-0.199004616,-0.369206834,-0.531062715,-0.389815327,-0.300900953,-0.11553134,-0.195281294,0.262651887,1
-0.235311453,-0.48061654,-0.316934215,-0.690808814,0.634212829,-0.108877573,0.420687746,1.80727299,2
-0.20492196,-0.32731904,-0.403786901,-0.177127295,-0.289109123,0.21187941,0.162562996,-0.337377322,3
-0.458840125,-0.300971318,0.172097073,0.114541757,-0.541116053,1.258225793,1.203114975,-2.311348173,4
-0.088768541,-0.030363163,-0.318564511,-0.328135766,-0.56723416,-0.179395269,-0.186915008,-0.953144388,5
